PID;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add
526301100;141;31770;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;5;1960;
526350040;80;11622;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to feeder street;Normal;1Fam;1Story;5;6;1961;
526351010;81;14267;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;6;1958;
526353030;93;11160;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;7;5;1968;
527105010;74;13830;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;5;5;1997;1998
527105030;78;9978;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;6;1998;
527127150;41;4920;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;2001;
527145080;43;5005;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1992;
527146030;39;5389;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1995;1996
527162130;60;7500;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;7;5;1999;
527163010;75;10000;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1993;1994
527165230;;7980;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;1Story;6;7;1992;2007
527166040;63;8402;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1998;
527180040;85;10176;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;1Story;7;5;1990;
527182190;;6820;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1985;
527216070;47;53504;Pave;NA;Moderately Irregular;HLS;AllPub;CulDSac;Mod;Stone Brook;Norm;Normal;1Fam;2Story;8;5;2003;
527225035;152;12134;Pave;NA;Slightly irregular;Bnk;AllPub;Inside;Mod;Gilbert;Norm;Normal;1Fam;1.5Fin;8;7;1988;2005
527258010;88;11394;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Stone Brook;Norm;Normal;1Fam;1Story;9;2;2010;
527276150;140;19138;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;1Story;4;5;1951;
